Ciaran Clark
Emmanuel Adebayor
Andros Townsend
Ricardo Vaz Tê
Joel Robles
Modou Barrow
Michael Duff
Jamaal Lascelles
Tom Thorpe
Harry Winks
Mamadou Sakho
Peter Ramage
Leroy Fer
Bafetimbi Gomis
Cesc Fàbregas
Michael Petrasso
John Terry
Gerhard Tremmel
Rory Donnelly
Anthony Réveillère
Jason Denayer
Alex Bruce
Jordon Ibe
Samba Diakité
Kevin Long
Michael Keane
Danny Ward
Olivier Kemen
Armand Traoré
Ben Foster
Conrad Logan
Yaya Sanogo
Enda Stevens
Steven Fletcher
Adnan Januzaj
Adrian Mariappa
Leon Osman
Steven Davis
Will Keane
Ben Amos
Jonathan Walters
Nathan Baker
Bersant Celina
Cameron Dummigan
Alex Gilliead
Andy Wilkinson
Thierry Ambrose
Oscar
Stéphane Sessègnon
Stevan Jovetic
Gylfi Sigurdsson
John Stones
Marko Arnautovic
Marc Albrighton
Jack Stephens
Fernando
Isaiah Brown
James Collins
Jordi Amat
Federico Fazio
Ben Hamer
Francisco Júnior
Max Stryjek
Rafael
Winston Reid
Bruno Andrade
Cristian Gamboa
Jordan Pickford
Cheik Tioté
Cameron Brannagan
Steve Harper
David Ospina
Hatem Ben Arfa
Steven Reid
James McArthur
Kemar Roofe
Gastón Ramírez
Vincent Kompany
Mohamed Diamé
Stuart O'Keefe
Jeremie Boga
Zoumana Bakayogo
Rushian Hepburn-Murphy
Donervon Daniels
Robbie Brady
Cole Kpekawa
Daley Blind
Jak Alnwick
Mauro Zárate
Wes Brown
Matthew Upson
Tim Howard
Cabral
Patrick McNair
Liam Bridcutt
Liam O'Neil
Patrick McCarthy
Jake Flannigan
James Morrison
Stefan O'Connor
Sone Aluko
Conor McAleny
Sam Gallagher
Ruben Loftus-Cheek
Vlad Chiriches
Pablo Zabaleta
Frankie Sutherland
Brandon Comley
Jonny Evans
Matt Targett
James Ward-Prowse
Jesse Lingard
Costel Pantilimon
Joey O'Brien
Jack Rodwell
Enner Valencia
Matthew Lowton
Maynor Figueroa
Papiss Demba Cissé
Dan Potts
Paul Konchesky
Steven N'Zonzi
Milos Veljkovic
Ander Herrera
Oliver Shenton
Georgios Samaras
Tom Beadling
Freddie Woodman
Fabio Borini
Reece Oxford
Mame Diouf
Dusan Tadic
Esteban Cambiasso
Laurent Koscielny
Curtis Good
Juan Cuadrado
Tom Huddlestone
Michael Kightly
Steven Naismith
Toby Alderweireld
Aaron Ramsey
José Pozo
Dominic Gape
Patrick Bamford
Philippe Senderos
Mikael Mandron
Raheem Sterling
Andreas Weimann
Danny Lafferty
Karim El Ahmadi
Eduardo Vargas
Adam Lallana
Tom Lawrence
Frank Lampard
Paul Gallagher
Stephen Kingsley
Joe Dudgeon
Jack Wilshere
Eric Dier
Ryan Bertrand
Billy Jones
Zeki Fryers
Sadio Mané
Darren Fletcher
Coutinho
Ángel Di María
Yoan Gouffran
Emmanuel Mayuka
Stephen Dobbie
Scott Sinclair
Sullay Kaikai
Victor Moses
Ainsley Maitland-Niles
Jake Hesketh
Craig Dawson
Jan Vertonghen
Glenn Murray
Wayne Hennessey
Max Ehmer
Adam Johnson
Robin van Persie
Adam King
Muhamed Besic
David de Gea
Luke Garbutt
Nathaniel Chalobah
Asmir Begovic
Martín Demichelis
Fabian Delph
Andy Carroll
Robert Green
Jason Davidson
Bacary Sagna
Mikel Arteta
Willy Caballero
Josh Onomah
Dedryck Boyata
Danny Rose
André Green
Jordon Mutch
Chris Kettings
Marouane Fellaini
Matthew Gilks
Phil Jagielka
Peter Crouch
Yun Suk-Young
Sam Johnstone
Jesús Navas
Alejandro Faurlín
Antolín Alcaraz
John Guidetti
Jamal Blackman
Carlos Sánchez
Allan McGregor
Eljero Elia
Duncan Watmore
Harry Maguire
Roberto Soldado
Shola Ameobi
Lewis Baker
Callum Roberts
Nacho Monreal
David Meyler
Moussa Dembélé
Andre Wisdom
Gabriel Paulista
Fernando Torres
Andrew Robertson
Andy Johnson
Jeffrey Schlupp
Filip Djuricic
Dean Marney
Stewart Downing
Charalampos Mavrias
Rio Ferdinand
Jonjo Shelvey
Rob Elliot
Ross Wallace
Gethin Jones
Yannick Bolasie
Carl Jenkinson
Diego Costa
Daniel Sturridge
Isaac Hayden
Nick Powell
Ryan Huddart
Liam Moore
Victor Wanyama
Boaz Myhill
Sebastian Lletget
Wes Morgan
Hugo Lloris
Kwesi Appiah
Jon Flanagan
Shane Long
Lee Cattermole
Ignasi Miquel
Mesut Özil
Chris Smalling
Alex McCarthy
Jermain Defoe
Jason Shackell
Ryan Mason
Tom Cleverley
Owen Garvan
Filipe Luís
Robert Huth
Héctor Bellerín
Matt Jarvis
Libor Kozák
Emiliano Martínez
Russell Griffiths
Gareth Barry
Mathieu Flamini
Nikica Jelavic
Étienne Capoue
Ashley Westwood
Stephen Ireland
Romelu Lukaku
Steven Gerrard
Charlie Austin
Ryan Seager
Niko Kranjcar
Willian
Matt Phillips
Oussama Assaidi
Kieran Dowell
Sinan Bytyqi
Per Mertesacker
James Chester
Graham Burke
Junior Hoilett
Sergio Agüero
Martin Kelly
Chicharito
Bojan Krkic
Lukas Jutkiewicz
Kevin Mirallas
Wilfried Zaha
Dean Hammond
Marc Wilson
Jordi Gómez
Jack Robinson
Ramires
Chris Wood
Joe Bennett
Simon Mignolet
Sebastián Coates
Nani
Vito Mannone
Abel Hernández
Darnell Furlong
Callum Robinson
Sandro
Dominic Solanke
Brian Murphy
Gabriel Agbonlahor
Callum McManaman
Shane Ferguson
Tom Heaton
Christian Atsu
Andreas Christensen
Michael Doughty
Ryan Shawcross
Ryan Taylor
Gareth McAuley
Aaron Cresswell
Tyler Blackett
Eliaquim Mangala
Grant Hall
Mile Jedinak
Samuel Eto'o
Thibaut Courtois
Gaël Clichy
Matthew Taylor
Lazar Markovic
Josh Cullen
Ron Vlaar
Tomás Kalas
Jefferson Montero
Stephen Ward
James Wilson
Nathan Dyer
Santiago Vergini
Diafra Sakho
Nathaniel Clyne
DeAndre Yedlin
Dionatan Teixeira
Youssuf Mulumbu
Luke O'Neill
Patrick van Aanholt
Brede Hangeland
Mario Balotelli
Jamie Vardy
Saphir Taider
Ricardo Álvarez
Phil Bardsley
Erik Pieters
Philipp Wollscheid
Kenneth Omeruo
Gedion Zelalem
Kieran Trippier
Christian Eriksen
Kieran Gibbs
Paul Dummett
Semi Ajayi
Jonathan Williams
Graziano Pellè
Dejan Lovren
Theo Walcott
Mehdi Abeid
Sung-Yong Ki
Steven Hewitt
Sébastien Pocognoli
Yannick Sagbo
Nenê
Michael Harriman
Andreas Pereira
Andy King
Sammy Ameobi
Nemanja Matic
Conor Townsend
Steven Taylor
George Honeyman
Mauricio Isla
Haris Vuckic
Jed Steer
David Jones
Lukas Podolski
Danny Simpson
Aly Cissokho
Karl Darlow
Peter Odemwingie
George Glendon
Vurnon Anita
Gabriel Obertan
Brown Ideye
Lewis Page
Nathan Aké
Tom Ince
Fraser Forster
Matt Grimes
Jordan Archer
Fabricio Coloccini
Danny Ings
Jozy Altidore
Dominic Ball
Marvin Emnes
Tom Hopper
Paulo Gazzaniga
José Fonte
Adam Smith
Wayne Rooney
Alex Song
Serge Gnabry
Andrej Kramaric
Wellington Silva
Sam Vokes
David Silva
Juan Mata
Michael Carrick
Chung-Yong Lee
Brad Jones
Aleksandar Kolarov
Phil Jones
Glenn Whelan
Charles N'Zogbia
John Obi Mikel
Tom Carroll
Hiram Boateng
Jamie Sterry
Thomas Robson
Jay Fulton
Neil Taylor
Ahmed Elmohamady
Ashley Barnes
Reece Grego-Cox
Reece James
