href="/en-us/people/belgium/33521/thibaut-courtois" data-rate="4.0"
href="/en-us/people/spain/15689/c%C3%A9sar-azpilicueta" data-rate="3.0"
href="/en-us/people/serbia/12065/branislav-ivanovic" data-rate="3.5"
href="/en-us/people/england/10619/gary-cahill" data-rate="3.0"
href="/en-us/people/england/1639/john-terry" data-rate="3.0"
href="/en-us/people/spain/2840/cesc-f%C3%A0bregas" data-rate="3.0"
href="/en-us/people/germany/31947/andre-sch%C3%BCrrle" data-rate="2.5"
href="/en-us/people/brazil/29271/oscar" data-rate="3.5"
href="/en-us/people/serbia/30912/nemanja-mati%C4%87" data-rate="3.0"
href="/en-us/people/belgium/23040/eden-hazard" data-rate="3.0"
href="/en-us/people/spain/14826/diego-costa" data-rate="3.5"
href="/en-us/people/denmark/1916/kasper-schmeichel" data-rate="3.5"
href="/en-us/people/england/45319/liam-moore" data-rate="2.5"
href="/en-us/people/belgium/21834/ritchie-de-laet" data-rate="2.5"
href="/en-us/people/england/1353/paul-konchesky" data-rate="3.0"
href="/en-us/people/england/48096/wes-morgan" data-rate="3.0"
href="/en-us/people/england/48205/dean-hammond" data-rate="2.5"
href="/en-us/people/wales/36027/andy-king" data-rate="2.5"
href="/en-us/people/algeria/57011/riyad-mahrez" data-rate="3.0"
href="/en-us/people/argentina/6970/leonardo-ulloa" data-rate="2.0"
href="/en-us/people/germany/45416/jeff-schlupp" data-rate="2.5"
href="/en-us/people/england/15922/david-nugent" data-rate="2.5"
href="/en-us/people/brazil/18046/ramires" data-rate="3.0"
href="/en-us/people/brazil/18605/willian" data-rate="3.0"
href="/en-us/people/c%C3%B4te-divoire/497/didier-drogba" data-rate="3.0"
href="/en-us/people/england/29223/marc-albrighton" data-rate="2.5"
href="/en-us/people/england/40518/gary-taylor-fletcher" data-rate="2.5"
href="/en-us/people/new-zealand/48200/chris-wood" data-rate="3.0"
