href="/en-us/people/belgium/33521/thibaut-courtois" data-rate="1.5"
href="/en-us/people/serbia/12065/branislav-ivanovic" data-rate="3.0"
href="/en-us/people/france/55354/kurt-zouma" data-rate="3.5"
href="/en-us/people/england/1639/john-terry" data-rate="3.0"
href="/en-us/people/spain/15689/c%C3%A9sar-azpilicueta" data-rate="3.0"
href="/en-us/people/brazil/18046/ramires" data-rate="3.0"
href="/en-us/people/brazil/29271/oscar" data-rate="3.0"
href="/en-us/people/serbia/30912/nemanja-mati%C4%87" data-rate="3.5"
href="/en-us/people/belgium/23040/eden-hazard" data-rate="3.0"
href="/en-us/people/brazil/18605/willian" data-rate="3.0"
href="/en-us/people/france/23064/lo%C3%AFc-remy" data-rate="3.5"
href="/en-us/people/england/12703/joe-hart" data-rate="3.0"
href="/en-us/people/france/5913/bacary-sagna" data-rate="3.0"
href="/en-us/people/belgium/5227/vincent-kompany" data-rate="2.5"
href="/en-us/people/argentina/2774/mart%C3%ADn-demichelis" data-rate="3.0"
href="/en-us/people/france/1152/gael-clichy" data-rate="3.0"
href="/en-us/people/spain/1516/jes%C3%BAs-navas-gonz%C3%A1lez" data-rate="3.0"
href="/en-us/people/brazil/24643/fernando" data-rate="2.0"
href="/en-us/people/spain/10425/david-silva" data-rate="3.5"
href="/en-us/people/england/4696/james-milner" data-rate="3.0"
href="/en-us/people/brazil/8544/fernandinho" data-rate="3.0"
href="/en-us/people/argentina/12590/sergio-ag%C3%BCero" data-rate="3.0"
href="/en-us/people/england/10619/gary-cahill" data-rate="3.0"
href="/en-us/people/c%C3%B4te-divoire/497/didier-drogba" data-rate="3.0"
href="/en-us/people/england/1642/frank-lampard" data-rate="3.0"
href="/en-us/people/montenegro/19343/stevan-jovetic" data-rate="3.0"
href="/en-us/people/bosnia-and-herzegovina/16347/edin-dzeko" data-rate="3.0"
